date,close,volume,open,high,low,10Avg,30Avg,10NeiAvg
2016-12-16,202.49,3795444,198.08,202.59,197.6,212,231.4766667,201.89
2016-12-15,197.58,3218653,198.41,200.74,197.39,211,229.9183333,200.0822222
2016-12-14,198.69,4147314,198.74,203,196.76,209,228.1066667,198.37
2016-12-13,198.15,6819322,193.18,201.28,193,207,226.3753333,196.6322222
2016-12-12,192.43,2436428,192.8,194.42,191.04,204,224.5486667,194.7566667
2016-12-09,192.18,2720937,190.87,193.836,190.81,202,222.546,193.0133333
2016-12-08,192.29,3193684,192.05,192.5,189.54,200,220.4696667,191.2233333
2016-12-07,193.15,5457071,186.15,193.4,185,198,218.3923333,189.3555556
2016-12-06,185.85,3389365,185.52,186.58,182.6825,197,216.5333333,188.3833333
2016-12-05,186.8,4069480,182.51,188.89,182.51,195,214.5706667,188.0655556
2016-12-02,181.47,4040201,182.88,184.88,180,193,212.672,188.5033333
2016-12-01,181.88,5119105,188.25,188.53,181,191,210.7756667,188.9877778
2016-11-30,189.4,3544891,191,191.89,187.5,189,208.9856667,188.9866667
2016-11-29,189.57,4435312,195.56,196.73,189.5,188,207.374,189.5777778
2016-11-28,196.12,4521082,195.48,199.35,194.55,188,206.04,189.3244444
2016-11-25,196.65,2366098,193.64,197.2372,193.64,189,204.9196667,189.7188889
2016-11-23,193.14,4890285,190.61,195.644,189,189,203.8123333,190.4722222
2016-11-22,191.17,5601238,185.84,191.47,183.71,189,202.541,189.8644444
2016-11-21,184.52,4355872,185.04,188.89,184.41,190,201.2796667,189.22
2016-11-18,185.02,5206473,190.65,193,185,189,199.872,187.59
2016-11-17,188.66,4880969,183.49,189.49,182.1101,190,198.473,186.6911111
2016-11-16,183.93,3432668,182.65,184.73,181.21,190,197.5286667,185.8255556
2016-11-15,183.77,3899743,182.78,186.43,182.05,190,196.5366667,185.7022222
